word,frequency,year
americans,27,2014
every,24,2014
people,24,2014
jobs,23,2014
make,22,2014
american,21,2014
years,21,2014
congress,20,2014
one,20,2014
us,20,2014
like,19,2014
thats,19,2014
lets,19,2014
get,17,2014
year,16,2014
just,15,2014
businesses,15,2014
tonight,14,2014
first,14,2014
new,41,2015
will,35,2015
america,35,2015
us,29,2015
thats,29,2015
years,25,2015
every,24,2015
can,24,2015
make,23,2015
need,22,2015
people,22,2015
want,21,2015
time,21,2015
like,20,2015
work,20,2015
country,19,2015
american,19,2015
one,19,2015
world,18,2015
economy,18,2015
jobs,18,2015
americans,18,2015
now,17,2015
lets,17,2015
families,16,2015
us,33,2016
thats,30,2016
world,24,2016
will,22,2016
people,21,2016
america,21,2016
work,20,2016
can,20,2016
years,18,2016
year,17,2016
make,17,2016
just,16,2016
new,16,2016
american,16,2016
now,15,2016
economy,15,2016
change,15,2016
americans,15,2016
want,14,2016
we've,14,2016
every,14,2016
see,13,2016
need,13,2016
better,13,2016
even,13,2016
